?a  <dealsWith>  ?c  ?c  <dealsWith>  ?b   => ?a  <dealsWith>  ?b	4	25	0
?a  <dealsWith>  ?c  ?c  <hasCurrency>  ?b   => ?a  <hasCurrency>  ?b	0	30	0
?a  <isMarriedTo>  ?c  ?c  <hasWonPrize>  ?b   => ?a  <hasWonPrize>  ?b	5	23	0
?a  <isMarriedTo>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	18	7	5
?a  <imports>  ?b   => ?a  <exports>  ?b	2	10	0
?a  <exports>  ?b   => ?a  <imports>  ?b	0	8	0
?a  <livesIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <livesIn>  ?b	30	0	0
?a  <dealsWith>  ?c  ?c  <exports>  ?b   => ?a  <imports>  ?b	6	24	0
?c  <dealsWith>  ?a  ?c  <dealsWith>  ?b   => ?a  <dealsWith>  ?b	16	14	0
?a  <wasBornIn>  ?b   => ?a  <livesIn>  ?b	29	0	0
?a  <isCitizenOf>  ?c  ?c  <hasCapital>  ?b   => ?a  <diedIn>  ?b	3	9	18
?a  <isCitizenOf>  ?c  ?c  <dealsWith>  ?b   => ?a  <isCitizenOf>  ?b	0	30	0
?a  <dealsWith>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	2	27	0
?a  <dealsWith>  ?c  ?c  <exports>  ?b   => ?a  <exports>  ?b	2	27	0
?a  <dealsWith>  ?c  ?c  <imports>  ?b   => ?a  <imports>  ?b	14	15	1
?a  <wasBornIn>  ?b   => ?a  <diedIn>  ?b	3	9	18
?a  <isMarriedTo>  ?c  ?c  <diedIn>  ?b   => ?a  <diedIn>  ?b	3	23	4
?a  <wasBornIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	4	26	0
