?a  <isLeaderOf>  ?b  ?a  <livesIn>  ?b   => ?a  <wasBornIn>  ?b	8	20	2
?a  <dealsWith>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isLocatedIn>  ?b	1	29	0
?a  <diedIn>  ?b   => ?a  <livesIn>  ?b	29	1	0
?c  <hasChild>  ?a  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	14	10	6
?c  <dealsWith>  ?a  ?c  <isLocatedIn>  ?b   => ?a  <isLocatedIn>  ?b	3	27	0
﻿?b  <hasCapital>  ?a   => ?a  <isLocatedIn>  ?b	1	0	0
?a  <isCitizenOf>  ?b   => ?a  <livesIn>  ?b	30	0	0
?c  <diedIn>  ?a  ?c  <isCitizenOf>  ?b   => ?a  <isLocatedIn>  ?b	5	25	0
?a  <livesIn>  ?c  ?b  <hasCapital>  ?c   => ?a  <isCitizenOf>  ?b	6	23	1
?a  <isCitizenOf>  ?c  ?c  <hasCapital>  ?b   => ?a  <diedIn>  ?b	0	30	0
?a  <hasCapital>  ?c  ?c  <hasOfficialLanguage>  ?b   => ?a  <hasOfficialLanguage>  ?b	8	17	0
?c  <isLocatedIn>  ?a  ?c  <isCitizenOf>  ?b   => ?a  <isLocatedIn>  ?b	12	18	0
?b  <hasCapital>  ?a   => ?a  <isLocatedIn>  ?b	24	5	0
?a  <isMarriedTo>  ?c  ?c  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	1	29	0
?a  <wasBornIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	20	8	2
?a  <isMarriedTo>  ?c  ?c  <graduatedFrom>  ?b   => ?a  <graduatedFrom>  ?b	0	30	0
?c  <isMarriedTo>  ?a  ?c  <isCitizenOf>  ?b   => ?a  <isCitizenOf>  ?b	2	28	0
?a  <isMarriedTo>  ?c  ?c  <hasWonPrize>  ?b   => ?a  <hasWonPrize>  ?b	1	29	0
?a  <isMarriedTo>  ?c  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	23	5	2
?c  <isMarriedTo>  ?a  ?c  <diedIn>  ?b   => ?a  <diedIn>  ?b	0	30	0
?a  <isLocatedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	4	24	2
?a  <livesIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	0	1	0
?c  <isMarriedTo>  ?a  ?c  <graduatedFrom>  ?b   => ?a  <graduatedFrom>  ?b	0	30	0
?a  <isPoliticianOf>  ?b   => ?a  <livesIn>  ?b	30	0	0
?c  <isMarriedTo>  ?a  ?c  <livesIn>  ?b   => ?a  <livesIn>  ?b	23	3	3
?c  <wasBornIn>  ?a  ?c  <isCitizenOf>  ?b   => ?a  <isLocatedIn>  ?b	5	25	0
?c  <isLocatedIn>  ?b  ?a  <isLocatedIn>  ?c   => ?a  <isCitizenOf>  ?b	2	25	1
?a  <diedIn>  ?c  ?c  <isLocatedIn>  ?b   => ?a  <isCitizenOf>  ?b	20	8	1
?c  <livesIn>  ?a  ?c  <isCitizenOf>  ?b   => ?a  <isLocatedIn>  ?b	8	22	0
